,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
194,Architecture and construction,Quantity Surveying,CR570,375.0,,,,375.0,,429.0,8,Cork Institute of Technology,,,,CR
195,Architecture and construction,Construction Management,CR572,300.0,,,,300.0,,349.0,8,Cork Institute of Technology,,,,CR
196,Engineering and engineering trades,Electrical Engineering,CR580,342.0,,,,342.0,,401.0,8,Cork Institute of Technology,,,,CR
197,Engineering and engineering trades,Electronic Engineering,CR590,329.0,,,,329.0,,409.0,8,Cork Institute of Technology,,,,CR
198,Arts,Visual Communications at CIT Crawford College of Art and Design,CR600,280.0,,,,280.0,,510.0,8,Cork Institute of Technology,#,,,CR
199,Welfare,Early Childhood Education and Care,CR620,397.0,,377.0,,336.0,,466.0,7,Cork Institute of Technology,,,,CR
200,Personal services,Culinary Arts,CR640,220.0,,178.0,,174.0,,399.0,7,Cork Institute of Technology,,avp,,CR
201,Personal services,Beverage Industry Management,CR650,193.0,,162.0,,162.0,,367.0,7,Cork Institute of Technology,,avp,,CR
202,Personal services,Culinary Studies,CR655,196.0,,113.0,,113.0,,320.0,6,Cork Institute of Technology,,avp,,CR
203,Personal services,Hospitality Studies,CR657,171.0,,,,171.0,,261.0,6,Cork Institute of Technology,,,,CR
204,Personal services,Tourism Management,CR660,246.0,,,,246.0,,328.0,8,Cork Institute of Technology,,,,CR
205,Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,609.0,,609.0,,609.0,,894.0,8,Cork Institute of Technology,#,avp,,CR
206,Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,CR805,229.0,,,,229.0,,445.0,7,Cork Institute of Technology,,,,CR
207,Information and Communication Technologies (ICTs),Information Technology,CR888,300.0,,,,300.0,,391.0,7,Cork Institute of Technology,,,,CR
208,Education,Home Economics and Business,CR930,518.0,*,,,510.0,*,542.0,8,Cork Institute of Technology,,,,CR
209,Arts,Arts - 3 years,CK101,300.0,,,,300.0,,400.0,8,University College Cork (NUI),,,,CK
210,Social and behavioural sciences,Social Science,CK102,434.0,,431.0,,420.0,,462.0,8,University College Cork (NUI),,,,CK
211,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,339.0,,,,339.0,,485.0,8,University College Cork (NUI),#,,,CK
212,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,421.0,,420.0,*,420.0,,488.0,8,University College Cork (NUI),,,,CK
